id	startpage	endpage	startletters	book_id	component_id
39	29	128	[u'a', u'b', u'c', u'd', u'e', u'f', u'g', u'h', u'i', u'j', u'k', u'l', u'm', u'n', u'o', u'p', u'q', u'r', u's', u't', u'u', u'v', u'y', u'\u0289']	31	6
31	11	97		23	6
32	242	266	[u'-', u'a', u'h', u'i', u'k', u'm', u'n', u'p', u's', u't', u'u', u'\xdf', u'\u0131', u'\u023f', u'\u0283', u'\u03b2']	24	3
43	115	193	[]	35	3
49	79	199	[]	41	1
46	1	78	[u'a', u'b', u'c', u'd', u'e', u'i', u'j', u'k', u'm', u'n', u'p', u's', u't', u'u', u'w', u'y', u'\u2013', u'\u2014']	38	2
50	1	1		44	5
51	1	1		45	5
52	1	1		46	5
53	1	1		47	5
54	1	1		48	5
55	1	1		49	5
56	1	1		50	5
